Period,Freq,M11,M22,M33,M44,M55,M66,M13,M15,M24,M26,M35,M46
7.05,0.891,1.98E+00,1.35E+02,3.90E+02,2.18E+01,1.01E+02,7.56E+01,3.81E+00,1.28E+01,2.21E+01,4.51E+01,7.20E+01,1.09E+01
6.88,0.913,1.99E+00,1.35E+02,3.90E+02,2.18E+01,1.01E+02,7.56E+01,3.81E+00,1.28E+01,2.21E+01,4.51E+01,7.21E+01,1.09E+01
6.71,0.937,1.99E+00,1.35E+02,3.91E+02,2.19E+01,1.01E+02,7.56E+01,3.81E+00,1.29E+01,2.20E+01,4.51E+01,7.22E+01,1.09E+01
6.53,0.962,2.00E+00,1.35E+02,3.91E+02,2.19E+01,1.02E+02,7.56E+01,3.82E+00,1.29E+01,2.20E+01,4.51E+01,7.23E+01,1.09E+01
6.36,0.987,2.00E+00,1.35E+02,3.92E+02,2.19E+01,1.02E+02,7.57E+01,3.82E+00,1.29E+01,2.20E+01,4.51E+01,7.23E+01,1.09E+01
6.19,1.015,2.00E+00,1.35E+02,3.92E+02,2.19E+01,1.02E+02,7.57E+01,3.82E+00,1.29E+01,2.20E+01,4.52E+01,7.24E+01,1.09E+01
6.02,1.044,2.01E+00,1.35E+02,3.93E+02,2.19E+01,1.02E+02,7.57E+01,3.82E+00,1.30E+01,2.20E+01,4.52E+01,7.25E+01,1.09E+01
5.85,1.075,2.02E+00,1.35E+02,3.93E+02,2.19E+01,1.02E+02,7.58E+01,3.82E+00,1.30E+01,2.20E+01,4.52E+01,7.26E+01,1.10E+01
5.68,1.107,2.02E+00,1.36E+02,3.94E+02,2.19E+01,1.03E+02,7.58E+01,3.82E+00,1.30E+01,2.20E+01,4.52E+01,7.26E+01,1.10E+01
5.50,1.142,2.03E+00,1.36E+02,3.94E+02,2.19E+01,1.03E+02,7.59E+01,3.83E+00,1.31E+01,2.20E+01,4.53E+01,7.27E+01,1.10E+01
5.33,1.178,2.04E+00,1.36E+02,3.94E+02,2.20E+01,1.03E+02,7.59E+01,3.83E+00,1.31E+01,2.20E+01,4.53E+01,7.27E+01,1.10E+01
5.16,1.218,2.05E+00,1.36E+02,3.94E+02,2.20E+01,1.04E+02,7.60E+01,3.83E+00,1.32E+01,2.19E+01,4.54E+01,7.27E+01,1.10E+01
4.99,1.260,2.06E+00,1.36E+02,3.94E+02,2.20E+01,1.04E+02,7.60E+01,3.84E+00,1.33E+01,2.19E+01,4.54E+01,7.27E+01,1.10E+01
4.82,1.304,2.07E+00,1.36E+02,3.93E+02,2.20E+01,1.05E+02,7.61E+01,3.84E+00,1.33E+01,2.19E+01,4.55E+01,7.27E+01,1.10E+01
4.64,1.353,2.08E+00,1.37E+02,3.93E+02,2.21E+01,1.05E+02,7.62E+01,3.85E+00,1.34E+01,2.19E+01,4.55E+01,7.27E+01,1.10E+01
4.47,1.405,2.10E+00,1.37E+02,3.91E+02,2.21E+01,1.06E+02,7.63E+01,3.86E+00,1.35E+01,2.18E+01,4.56E+01,7.26E+01,1.10E+01
4.30,1.461,2.11E+00,1.37E+02,3.90E+02,2.21E+01,1.07E+02,7.64E+01,3.87E+00,1.36E+01,2.18E+01,4.57E+01,7.24E+01,1.10E+01
4.13,1.522,2.13E+00,1.37E+02,3.88E+02,2.22E+01,1.07E+02,7.65E+01,3.88E+00,1.38E+01,2.17E+01,4.58E+01,7.22E+01,1.10E+01
3.96,1.588,2.16E+00,1.38E+02,3.86E+02,2.22E+01,1.08E+02,7.66E+01,3.89E+00,1.39E+01,2.17E+01,4.59E+01,7.20E+01,1.10E+01
3.79,1.660,2.18E+00,1.38E+02,3.82E+02,2.23E+01,1.09E+02,7.67E+01,3.91E+00,1.41E+01,2.16E+01,4.60E+01,7.16E+01,1.10E+01
3.61,1.739,2.21E+00,1.39E+02,3.78E+02,2.23E+01,1.11E+02,7.69E+01,3.93E+00,1.43E+01,2.16E+01,4.61E+01,7.11E+01,1.10E+01
3.44,1.825,2.25E+00,1.39E+02,3.73E+02,2.24E+01,1.12E+02,7.71E+01,3.96E+00,1.45E+01,2.15E+01,4.63E+01,7.05E+01,1.10E+01
3.27,1.921,2.29E+00,1.40E+02,3.67E+02,2.25E+01,1.14E+02,7.74E+01,3.99E+00,1.48E+01,2.14E+01,4.65E+01,6.98E+01,1.10E+01
3.10,2.028,2.34E+00,1.41E+02,3.59E+02,2.26E+01,1.16E+02,7.76E+01,4.03E+00,1.51E+01,2.12E+01,4.67E+01,6.89E+01,1.11E+01
2.93,2.147,2.40E+00,1.42E+02,3.49E+02,2.27E+01,1.18E+02,7.80E+01,4.08E+00,1.55E+01,2.11E+01,4.70E+01,6.77E+01,1.11E+01
2.76,2.281,2.46E+00,1.43E+02,3.36E+02,2.29E+01,1.20E+02,7.84E+01,4.15E+00,1.59E+01,2.09E+01,4.74E+01,6.63E+01,1.11E+01
2.58,2.432,2.53E+00,1.45E+02,3.22E+02,2.31E+01,1.23E+02,7.90E+01,4.23E+00,1.63E+01,2.07E+01,4.78E+01,6.45E+01,1.12E+01
2.41,2.605,2.59E+00,1.47E+02,3.03E+02,2.33E+01,1.26E+02,7.97E+01,4.34E+00,1.68E+01,2.05E+01,4.84E+01,6.24E+01,1.12E+01
2.24,2.805,2.64E+00,1.49E+02,2.82E+02,2.35E+01,1.28E+02,8.06E+01,4.46E+00,1.71E+01,2.03E+01,4.90E+01,5.98E+01,1.13E+01
2.07,3.038,2.66E+00,1.52E+02,2.55E+02,2.38E+01,1.29E+02,8.18E+01,4.61E+00,1.73E+01,2.02E+01,4.98E+01,5.67E+01,1.15E+01
1.90,3.314,2.60E+00,1.55E+02,2.23E+02,2.40E+01,1.27E+02,8.35E+01,4.77E+00,1.70E+01,2.05E+01,5.07E+01,5.30E+01,1.18E+01
1.72,3.644,2.43E+00,1.57E+02,1.85E+02,2.41E+01,1.21E+02,8.58E+01,4.92E+00,1.60E+01,2.13E+01,5.16E+01,4.86E+01,1.24E+01
1.55,4.047,2.09E+00,1.57E+02,1.37E+02,2.40E+01,1.09E+02,8.86E+01,5.03E+00,1.40E+01,2.33E+01,5.22E+01,4.35E+01,1.31E+01
1.38,4.550,1.52E+00,1.54E+02,6.89E+01,2.38E+01,8.80E+01,9.13E+01,5.24E+00,1.06E+01,2.67E+01,5.23E+01,3.72E+01,1.38E+01
1.21,5.197,5.29E-01,1.49E+02,-1.14E+02,2.37E+01,4.64E+01,9.22E+01,6.15E+00,4.29E+00,3.17E+01,5.24E+01,2.36E+01,1.43E+01
1.04,6.058,-4.28E-01,1.49E+02,-3.19E+01,2.48E+01,-3.65E+01,9.39E+01,-6.96E-01,-4.99E+00,3.94E+01,5.54E+01,-1.11E+01,1.58E+01
0.87,7.261,5.45E-01,1.85E+02,4.21E+01,3.20E+01,2.17E+01,1.27E+02,1.39E+00,2.47E+00,6.12E+01,8.35E+01,1.21E+01,2.62E+01
0.69,9.059,8.36E-01,-3.03E+02,6.41E+01,-6.90E+01,3.39E+01,-3.35E+01,2.34E+00,4.40E+00,-1.57E+02,7.14E+01,1.94E+01,3.49E+01
0.52,12.041,-7.39E-02,6.68E+01,-1.19E+02,1.21E+01,-1.36E+01,6.48E+01,-4.92E+00,-1.63E+00,1.76E+01,4.51E+01,-6.31E+01,1.38E+01
0.35,17.952,5.01E-01,4.84E+01,7.33E+01,1.23E+01,3.11E+01,3.14E+01,2.35E+00,3.55E+00,1.27E+01,1.25E+01,1.76E+01,2.30E+00