Period,Freq,Fx[N],Fx[deg],Fy[N],Fy[deg],Fz[N],Fz[deg],Mx[N],Mx[deg],My[N],My[deg],Mz[N],Mz[deg]
7.05,0.891,0.9977,-90.30,0.0003,11.33,1.0015,0.00,0.0011,-169.08,4.6255,90.34,0.0390,177.84
6.88,0.913,0.9973,-90.29,0.0003,9.41,1.0014,0.00,0.0008,-164.42,4.8575,90.36,0.0375,177.68
6.71,0.937,0.9969,-90.27,0.0003,12.53,1.0012,0.00,0.0009,-164.41,5.1074,90.38,0.0346,177.54
6.53,0.962,0.9965,-90.26,0.0002,13.12,1.0009,0.01,0.0009,-162.92,5.3770,90.40,0.0334,177.33
6.36,0.987,0.9959,-90.24,0.0003,12.07,1.0007,0.01,0.0008,-161.86,5.6684,90.43,0.0316,177.47
6.19,1.015,0.9954,-90.23,0.0002,13.60,1.0004,0.01,0.0008,-160.18,5.9839,90.45,0.0297,177.25
6.02,1.044,0.9948,-90.22,0.0002,15.93,1.0000,0.01,0.0008,-158.88,6.3264,90.48,0.0276,176.90
5.85,1.075,0.9940,-90.20,0.0002,14.28,0.9996,0.01,0.0006,-150.43,6.6989,90.52,0.0267,176.95
5.68,1.107,0.9933,-90.19,0.0002,17.00,0.9992,0.01,0.0009,-157.25,7.1050,90.55,0.0251,176.45
5.50,1.142,0.9924,-90.18,0.0002,15.47,0.9987,0.01,0.0008,-153.30,7.5488,90.59,0.0234,176.38
5.33,1.178,0.9913,-90.16,0.0001,21.47,0.9980,0.01,0.0009,-153.52,8.0351,90.63,0.0218,176.22
5.16,1.218,0.9902,-90.15,0.0002,17.73,0.9973,0.01,0.0009,-153.83,8.5693,90.67,0.0204,175.98
4.99,1.260,0.9889,-90.14,0.0002,18.94,0.9964,0.01,0.0012,-158.53,9.1579,90.72,0.0194,175.89
4.82,1.304,0.9874,-90.13,0.0002,20.50,0.9954,0.02,0.0009,-148.21,9.8082,90.78,0.0177,174.90
4.64,1.353,0.9856,-90.12,0.0001,22.44,0.9942,0.02,0.0011,-152.17,10.5291,90.84,0.0163,175.44
4.47,1.405,0.9835,-90.10,0.0001,25.64,0.9927,0.02,0.0010,-145.26,11.3309,90.91,0.0150,174.17
4.30,1.461,0.9811,-90.09,0.0001,22.73,0.9909,0.03,0.0008,-132.31,12.2255,90.99,0.0141,173.79
4.13,1.522,0.9782,-90.08,0.0001,26.12,0.9887,0.03,0.0013,-147.60,13.2274,91.07,0.0127,173.56
3.96,1.588,0.9748,-90.07,0.0001,30.14,0.9860,0.04,0.0011,-137.76,14.3535,91.17,0.0115,172.56
3.79,1.660,0.9707,-90.05,0.0001,29.01,0.9827,0.04,0.0014,-143.45,15.6238,91.28,0.0106,171.65
3.61,1.739,0.9657,-90.04,0.0001,33.42,0.9784,0.05,0.0013,-137.65,17.0623,91.40,0.0094,171.09
3.44,1.825,0.9595,-90.03,0.0001,33.25,0.9731,0.06,0.0015,-137.11,18.6969,91.55,0.0085,170.81
3.27,1.921,0.9518,-90.02,0.0001,41.70,0.9662,0.08,0.0015,-128.93,20.5605,91.72,0.0074,170.17
3.10,2.028,0.9421,-90.00,0.0001,38.32,0.9572,0.09,0.0017,-130.24,22.6907,91.91,0.0066,167.92
2.93,2.147,0.9296,-89.99,0.0001,35.50,0.9454,0.12,0.0019,-126.70,25.1289,92.14,0.0058,166.80
2.76,2.281,0.9135,-89.98,0.0001,38.45,0.9296,0.14,0.0022,-125.74,27.9177,92.41,0.0049,165.92
2.58,2.432,0.8923,-89.97,0.0001,37.75,0.9080,0.17,0.0024,-115.58,31.0931,92.72,0.0042,164.38
2.41,2.605,0.8638,-89.98,0.0001,42.77,0.8780,0.20,0.0029,-107.54,34.6667,93.09,0.0033,159.44
2.24,2.805,0.8250,-90.01,0.0001,39.27,0.8356,0.21,0.0040,-114.96,38.5902,93.52,0.0026,155.06
2.07,3.038,0.7715,-90.11,0.0001,42.52,0.7746,0.11,0.0050,-106.57,42.6791,93.98,0.0019,152.06
1.90,3.314,0.6970,-90.36,0.0001,40.14,0.6863,-0.35,0.0075,-104.90,46.4641,94.44,0.0014,139.87
1.72,3.644,0.5931,-90.98,0.0001,46.71,0.5608,-2.02,0.0171,-86.59,48.9226,94.71,0.0011,122.35
1.55,4.047,0.4520,-92.52,0.0000,88.74,0.3954,-7.67,0.0200,39.30,48.0774,94.33,0.0005,-161.08
1.38,4.550,0.2743,-96.87,0.0000,3.74,0.2207,-26.93,0.0043,65.01,40.7824,91.90,0.0002,-97.96
1.21,5.197,0.0971,-113.38,0.0000,-10.85,0.1137,-73.15,0.0013,58.64,25.0067,81.85,0.0003,-128.01
1.04,6.058,0.0015,74.90,0.0000,-14.08,0.0637,151.04,0.0010,92.29,7.8586,65.50,0.0003,178.73
0.87,7.261,0.0141,48.81,0.0000,28.13,0.0544,-90.55,0.0006,-121.41,8.6416,-115.81,0.0003,-129.98
0.69,9.059,0.0103,33.45,0.0000,77.44,0.0568,-117.02,0.0023,75.30,2.0150,141.21,0.0006,-30.09
0.52,12.041,0.0010,156.76,0.0000,24.02,0.0385,176.19,0.0004,19.78,2.7940,-44.68,0.0008,-68.13
0.35,17.952,0.0001,-38.14,0.0000,-15.26,0.0005,167.74,0.0017,-38.99,0.0719,136.16,0.0008,113.25