Fn,Test No.,ω_0[rad/s],ω_e[rad/s],λ/L,Snelheid U[m/s],Period T[s],Wave A[cm],Fx[N],Fx[N/cm],[deg],Fy,Fy[N/cm],deg,Fz,Fz[N/cm],deg,Mx,Mx[N/cm],deg,My,My[N/cm],deg,Mz,Mz[N/cm],deg
0.300,8715.000,3.590,5.691,1.594,1.602,1.750,1.730,0.318,0.184,41.000,3.295,1.905,248.000,0.236,0.136,204.000,0.788,0.455,226.000,0.367,0.212,256.000,1.555,0.899,145.000
0.300,8714.000,3.831,6.398,1.400,1.718,1.638,1.240,0.491,0.396,21.000,6.526,5.263,209.000,0.334,0.269,126.000,1.465,1.181,197.000,1.224,0.987,244.000,2.441,1.969,72.000
0.300,8713.000,4.134,6.949,1.202,1.623,1.518,1.450,0.564,0.389,2.000,10.008,6.902,168.000,0.345,0.238,99.000,2.163,1.492,166.000,1.743,1.202,208.000,3.853,2.657,27.000
0.300,8712.000,4.520,7.861,1.006,1.612,1.390,2.540,0.425,0.167,323.000,11.980,4.717,85.000,0.338,0.133,63.000,2.193,0.863,97.000,1.228,0.483,165.000,5.947,2.341,270.000
0.300,8111.000,4.760,8.689,0.907,1.706,1.319,2.610,0.241,0.092,295.000,10.390,3.981,11.000,0.189,0.072,17.000,1.607,0.616,38.000,1.141,0.437,153.000,6.957,2.666,185.000
0.300,8710.000,5.068,9.356,0.800,1.645,1.241,2.470,0.137,0.055,352.000,7.798,3.157,318.000,0.133,0.054,2.000,1.063,0.430,338.000,0.955,0.387,121.000,5.345,2.164,134.000
0.300,8706.000,5.872,11.468,0.596,1.596,1.067,1.490,0.188,0.126,3.000,2.832,1.901,239.000,0.123,0.083,216.000,0.587,0.394,231.000,0.183,0.123,111.000,1.811,1.215,41.000
0.600,8722.000,3.206,6.545,1.999,3.258,1.940,1.380,0.950,0.688,14.000,3.412,2.472,191.000,0.199,0.144,72.000,1.040,0.754,184.000,1.256,0.910,196.000,0.328,0.238,9.000
0.600,8721.000,3.378,7.260,1.801,3.434,1.740,1.410,1.308,0.928,359.000,3.610,2.560,166.000,0.454,0.322,6.000,1.581,1.121,165.000,1.469,1.042,177.000,0.896,0.635,239.000
0.600,8720.000,3.590,7.963,1.594,3.583,1.600,1.790,1.256,0.702,329.000,3.620,2.022,135.000,0.356,0.199,271.000,1.957,1.093,135.000,1.721,0.961,151.000,1.982,1.107,187.000
0.600,8719.000,3.831,8.727,1.400,3.849,1.390,1.950,0.982,0.504,300.000,2.829,1.451,110.000,0.313,0.161,174.000,1.903,0.976,105.000,1.786,0.916,133.000,2.624,1.346,142.000
0.600,8718.000,4.134,9.701,1.202,4.115,1.210,2.350,0.650,0.277,283.000,1.773,0.754,95.000,0.200,0.085,84.000,1.264,0.538,76.000,1.363,0.580,111.000,1.761,0.749,102.000
0.600,8717.000,4.520,11.196,1.006,4.497,1.020,2.560,0.331,0.129,275.000,1.098,0.429,74.000,0.173,0.068,83.000,0.567,0.221,59.000,0.937,0.366,68.000,0.255,0.100,100.000
0.600,8716.000,4.760,12.135,0.907,4.738,0.920,2.610,0.277,0.106,289.000,1.075,0.412,74.000,0.125,0.048,72.000,0.330,0.126,59.000,0.515,0.197,66.000,0.396,0.152,170.000
0.750,8729.000,3.206,7.455,1.999,4.090,1.917,1.380,1.011,0.733,344.000,3.648,2.643,163.000,0.603,0.437,288.000,1.788,1.296,153.000,1.563,1.133,156.000,0.968,0.701,179.000
0.750,8728.000,3.378,8.055,1.801,4.101,1.862,1.700,1.088,0.640,333.000,4.117,2.422,143.000,0.554,0.326,223.000,2.093,1.231,132.000,1.638,0.964,142.000,1.502,0.884,154.000
0.750,8727.000,3.471,8.394,1.705,4.095,1.773,1.450,1.124,0.775,329.000,3.953,2.726,134.000,0.583,0.402,193.000,2.090,1.441,120.000,1.788,1.233,129.000,1.116,0.770,144.000
0.750,8726.000,3.590,8.944,1.594,4.102,1.754,1.790,1.250,0.698,314.000,4.569,2.553,119.000,0.483,0.270,152.000,2.324,1.298,102.000,2.061,1.151,119.000,1.210,0.676,123.000
0.750,8725.000,3.831,9.818,1.400,4.037,1.646,2.100,0.887,0.422,283.000,3.698,1.761,90.000,0.202,0.096,121.000,0.699,0.333,72.000,1.348,0.642,95.000,0.793,0.378,113.000
0.750,8724.000,4.134,11.121,1.202,4.033,1.507,2.070,0.696,0.336,263.000,2.634,1.272,70.000,0.099,0.048,115.000,1.046,0.505,55.000,0.948,0.458,95.000,0.666,0.322,155.000
0.750,8723.000,4.520,12.723,1.006,4.002,1.385,2.410,0.419,0.174,267.000,1.822,0.756,51.000,0.132,0.055,48.000,0.538,0.223,45.000,0.575,0.239,85.000,0.904,0.375,167.000